full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
catlog22/Claude-Code-Workflow,1093,1093,89,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
opactorai/Claudable,3680,3680,559,2,2,1,https://github.com/opactorai/Claudable
pchalasani/claude-code-tools,1159,1159,80,2,2,0,https://github.com/pchalasani/claude-code-tools
upstash/context7,43006,43006,2069,33,33,2,https://github.com/upstash/context7
anthropics/claude-agent-sdk-python,4282,4282,566,4,4,0,https://github.com/anthropics/claude-agent-sdk-python
anthropics/claude-plugins-official,4655,4655,499,18,18,0,https://github.com/anthropics/claude-plugins-official
kn1026/cc,701,701,266,0,0,0,https://github.com/kn1026/cc
superdesigndev/superdesign,5771,5771,667,1,1,0,https://github.com/superdesigndev/superdesign
simonw/claude-code-transcripts,833,833,86,2,2,0,https://github.com/simonw/claude-code-transcripts
kepano/obsidian-skills,7789,7789,401,20,20,-1,https://github.com/kepano/obsidian-skills
jeremylongshore/claude-code-plugins-plus-skills,1045,1045,135,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
anthropics/claude-agent-sdk-demos,1219,1219,195,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
alirezarezvani/claude-code-tresor,444,444,109,1,1,1,https://github.com/alirezarezvani/claude-code-tresor
obra/superpowers,33406,33406,2522,145,145,11,https://github.com/obra/superpowers
zsio/claude-code-hub,150,150,166,0,0,0,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,810,810,80,1,1,1,https://github.com/d-kimuson/claude-code-viewer
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
ericbuess/claude-code-docs,575,575,91,0,0,0,https://github.com/ericbuess/claude-code-docs
numman-ali/openskills,6775,6775,454,13,13,2,https://github.com/numman-ali/openskills
browser-use/browser-use,76097,76097,9080,49,49,2,https://github.com/browser-use/browser-use
severity1/claude-code-prompt-improver,1075,1075,97,0,0,0,https://github.com/severity1/claude-code-prompt-improver
bfly123/claude_code_bridge,844,844,79,7,7,1,https://github.com/bfly123/claude_code_bridge
greggh/claude-code.nvim,1745,1745,56,1,1,1,https://github.com/greggh/claude-code.nvim
BloopAI/vibe-kanban,18465,18465,1709,42,42,5,https://github.com/BloopAI/vibe-kanban
zhukunpenglinyutong/idea-claude-code-gui,781,781,91,0,0,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
Matt-Dionis/claude-code-configs,604,604,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1295,1295,71,0,0,0,https://github.com/manzaltu/claude-code-ide.el
anomalyco/opencode,83873,83873,7511,253,253,28,https://github.com/anomalyco/opencode
coleam00/context-engineering-intro,12254,12254,2577,2,2,0,https://github.com/coleam00/context-engineering-intro
OthmanAdi/planning-with-files,10794,10794,971,17,17,7,https://github.com/OthmanAdi/planning-with-files
alirezarezvani/claude-skills,1218,1218,152,22,22,2,https://github.com/alirezarezvani/claude-skills
MadAppGang/claude-code,215,215,19,0,0,0,https://github.com/MadAppGang/claude-code
UfoMiao/zcf,5296,5296,376,1,1,0,https://github.com/UfoMiao/zcf
hesreallyhim/a-list-of-claude-code-agents,1147,1147,111,0,0,1,https://github.com/hesreallyhim/a-list-of-claude-code-agents
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
oraios/serena,19062,19062,1299,11,11,2,https://github.com/oraios/serena
code-yeongyu/oh-my-opencode,22091,22091,1560,67,67,3,https://github.com/code-yeongyu/oh-my-opencode
stretchcloud/claude-code-unified-agents,724,724,72,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
carlvellotti/claude-code-pm-course,375,375,95,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
Dicklesworthstone/claude_code_agent_farm,635,635,75,0,0,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
