full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Cranot/claude-code-guide,2347,2347,255,1,1,0,https://github.com/Cranot/claude-code-guide
fuergaosi233/claude-code-proxy,2013,2013,279,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,569,569,595,0,0,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25387,25387,2427,5,5,0,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,28292,28292,3112,19,19,1,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3412,3412,247,3,3,1,https://github.com/Pimzino/claude-code-spec-workflow
edmund-io/edmunds-claude-code,1154,1154,236,0,0,0,https://github.com/edmund-io/edmunds-claude-code
anthropics/claude-code-security-review,2967,2967,228,0,0,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,399,399,544,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
snarktank/ralph,9908,9908,1146,26,26,3,https://github.com/snarktank/ralph
ykdojo/claude-code-tips,2455,2455,158,58,58,5,https://github.com/ykdojo/claude-code-tips
router-for-me/CLIProxyAPI,10024,10024,1591,53,53,11,https://github.com/router-for-me/CLIProxyAPI
ding113/claude-code-hub,1361,1361,177,4,4,0,https://github.com/ding113/claude-code-hub
github/spec-kit,68729,68729,5932,86,86,7,https://github.com/github/spec-kit
lst97/claude-code-sub-agents,1397,1397,223,2,2,0,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,899,899,204,0,0,0,https://github.com/sugyan/claude-code-webui
feiskyer/claude-code-settings,1189,1189,181,5,5,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,832,832,409,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,6129,6129,811,10,10,0,https://github.com/siteboon/claudecodeui
nishimoto265/Claude-Code-Communication,488,488,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
EveryInc/compound-engineering-plugin,8030,8030,637,83,83,6,https://github.com/EveryInc/compound-engineering-plugin
centminmod/my-claude-code-setup,1833,1833,176,8,8,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1741,1741,172,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
sickn33/antigravity-awesome-skills,8200,8200,1694,53,53,7,https://github.com/sickn33/antigravity-awesome-skills
andrepimenta/claude-code-chat,990,990,150,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,541,541,47,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
shanraisshan/claude-code-best-practice,2195,2195,147,41,41,4,https://github.com/shanraisshan/claude-code-best-practice
slopus/happy,11120,11120,827,56,56,3,https://github.com/slopus/happy
zed-industries/claude-code-acp,909,909,143,3,3,0,https://github.com/zed-industries/claude-code-acp
Njengah/claude-code-cheat-sheet,1303,1303,159,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1084,1084,130,1,1,0,https://github.com/steipete/claude-code-mcp
winfunc/opcode,20503,20503,1599,10,10,1,https://github.com/winfunc/opcode
disler/claude-code-hooks-multi-agent-observability,1034,1034,307,9,9,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
EnzeD/vibe-coding,3895,3895,1258,-1,-1,2,https://github.com/EnzeD/vibe-coding
cixingguangming55555/wechat-bot,2531,2531,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
peterkrueck/Claude-Code-Development-Kit,1303,1303,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,923,923,115,0,0,0,https://github.com/jarrodwatts/claude-code-config
catlog22/Claude-Code-Workflow,1271,1271,106,1,1,1,https://github.com/catlog22/Claude-Code-Workflow
bfly123/claude_code_bridge,1121,1121,109,5,5,2,https://github.com/bfly123/claude_code_bridge
JessyTsui/Claude-Code-Remote,1027,1027,113,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,695,695,135,1,1,0,https://github.com/0xfurai/claude-code-subagents
revfactory/claude-code-mastering,754,754,122,1,1,0,https://github.com/revfactory/claude-code-mastering
anthropics/claude-plugins-official,7146,7146,678,29,29,0,https://github.com/anthropics/claude-plugins-official
wasabeef/claude-code-cookbook,998,998,108,1,1,0,https://github.com/wasabeef/claude-code-cookbook
simonw/claude-code-transcripts,983,983,109,1,1,0,https://github.com/simonw/claude-code-transcripts
obra/superpowers,48963,48963,3703,232,232,13,https://github.com/obra/superpowers
zhukunpenglinyutong/idea-claude-code-gui,1215,1215,128,4,4,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
pchalasani/claude-code-tools,1404,1404,90,2,2,0,https://github.com/pchalasani/claude-code-tools
numman-ali/openskills,8107,8107,540,15,15,1,https://github.com/numman-ali/openskills
jeremylongshore/claude-code-plugins-plus-skills,1319,1319,158,4,4,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
opactorai/Claudable,3734,3734,564,-1,-1,0,https://github.com/opactorai/Claudable
alirezarezvani/claude-code-tresor,504,504,119,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,868,868,93,0,0,1,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,4717,4717,620,9,9,0,https://github.com/anthropics/claude-agent-sdk-python
kepano/obsidian-skills,9491,9491,509,22,22,3,https://github.com/kepano/obsidian-skills
21st-dev/1code,4886,4886,502,3,3,1,https://github.com/21st-dev/1code
ComposioHQ/awesome-claude-skills,33471,33471,3205,154,154,15,https://github.com/ComposioHQ/awesome-claude-skills
carlvellotti/claude-code-pm-course,662,662,139,3,3,1,https://github.com/carlvellotti/claude-code-pm-course
anthropics/claude-agent-sdk-demos,1398,1398,220,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,673,673,99,1,1,0,https://github.com/ericbuess/claude-code-docs
gavrielc/nanoclaw,6822,6822,818,73,73,6,https://github.com/gavrielc/nanoclaw
alirezarezvani/claude-skills,1707,1707,209,5,5,0,https://github.com/alirezarezvani/claude-skills
kn1026/cc,704,704,269,1,1,0,https://github.com/kn1026/cc
severity1/claude-code-prompt-improver,1118,1118,96,0,0,0,https://github.com/severity1/claude-code-prompt-improver
farion1231/cc-switch,17270,17270,1081,92,92,8,https://github.com/farion1231/cc-switch
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
upstash/context7,45298,45298,2165,46,46,0,https://github.com/upstash/context7
greggh/claude-code.nvim,1808,1808,57,0,0,0,https://github.com/greggh/claude-code.nvim
superdesigndev/superdesign,5959,5959,680,0,0,0,https://github.com/superdesigndev/superdesign
BloopAI/vibe-kanban,20920,20920,1977,15,15,4,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,101564,101564,9769,237,237,37,https://github.com/anomalyco/opencode
browser-use/browser-use,78136,78136,9249,26,26,1,https://github.com/browser-use/browser-use
Matt-Dionis/claude-code-configs,614,614,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1328,1328,75,0,0,0,https://github.com/manzaltu/claude-code-ide.el
laravel/claude-code,487,487,15,1,1,0,https://github.com/laravel/claude-code
MadAppGang/claude-code,225,225,21,1,1,0,https://github.com/MadAppGang/claude-code
thedotmack/claude-mem,26600,26600,1772,176,176,12,https://github.com/thedotmack/claude-mem
Yeachan-Heo/oh-my-claudecode,5753,5753,407,51,51,2,https://github.com/Yeachan-Heo/oh-my-claudecode
PleasePrompto/notebooklm-skill,3421,3421,337,8,8,0,https://github.com/PleasePrompto/notebooklm-skill
alirezarezvani/claude-code-skill-factory,485,485,96,0,0,0,https://github.com/alirezarezvani/claude-code-skill-factory
